id;jhi_limit;balance;spent;description;sort_order;date_added;date_modified;status
1;81045;742;13451;(E.M.U.-6);42240;2022-06-01;2022-06-02;DISABLED
2;98267;91379;31543;payment Nevada;25554;2022-06-02;2022-06-02;RESTRICTED
3;70900;35076;13796;web-enabled;11338;2022-06-02;2022-06-02;DISABLED
4;2335;21811;71839;Ergonomic Aruban;25611;2022-06-02;2022-06-01;RESTRICTED
5;53770;94068;64795;composite Dynamic Cambridgeshire;41586;2022-06-01;2022-06-02;DISABLED
6;88005;53368;63347;payment quantifying Nepal;92758;2022-06-01;2022-06-01;DISABLED
7;9614;51320;95520;parsing Developer synergize;88210;2022-06-02;2022-06-02;RESTRICTED
8;42628;74738;23128;bypassing killer Designer;38503;2022-06-01;2022-06-02;AVAILABLE
9;1787;67763;40385;upward-trending generate;57696;2022-06-02;2022-06-01;AVAILABLE
10;57000;67478;92658;Soft Universal zero;71319;2022-06-02;2022-06-01;RESTRICTED
