id;amount;balance;description;sort_order;posting_date;transaction_date;status;date_modified
1;2849;59208;approach Polarised;16431;2022-06-01;2022-06-01;RESTRICTED;2022-06-01
2;95136;29433;needs-based Operations;38091;2022-06-02;2022-06-02;RESTRICTED;2022-06-02
3;1914;63291;disintermediate internet matrix;25283;2022-06-02;2022-06-02;DISABLED;2022-06-02
4;27354;60550;holistic;3216;2022-06-01;2022-06-02;RESTRICTED;2022-06-01
5;83747;52466;Executive Ball e-tailers;98576;2022-06-01;2022-06-02;DISABLED;2022-06-02
6;26114;80828;Course;99687;2022-06-01;2022-06-01;AVAILABLE;2022-06-02
7;68314;33719;Tools;78509;2022-06-02;2022-06-02;RESTRICTED;2022-06-02
8;18132;84427;Facilitator deliver Forest;8497;2022-06-02;2022-06-01;AVAILABLE;2022-06-02
9;39242;14924;connecting synthesizing Rica;87708;2022-06-01;2022-06-02;RESTRICTED;2022-06-02
10;72319;72424;mindshare;63813;2022-06-01;2022-06-02;AVAILABLE;2022-06-01
